=== SIMD 多线程融合【基本要求】结果 ===
------------------------------------------------
=== 规模: 512 | 线程数: 1 ===
Pthread + SIMD 耗时:  0.0560 秒 | 校验: OK
OpenMP  + SIMD 耗时:  0.0074 秒 | 校验: OK
=== 规模: 512 | 线程数: 2 ===
Pthread + SIMD 耗时:  0.0614 秒 | 校验: OK
OpenMP  + SIMD 耗时:  0.0040 秒 | 校验: OK
=== 规模: 512 | 线程数: 4 ===
Pthread + SIMD 耗时:  0.0848 秒 | 校验: OK
OpenMP  + SIMD 耗时:  0.0029 秒 | 校验: OK
=== 规模: 512 | 线程数: 8 ===
Pthread + SIMD 耗时:  0.1408 秒 | 校验: OK
OpenMP  + SIMD 耗时:  0.0036 秒 | 校验: OK
------------------------------------------------
=== 规模: 1024 | 线程数: 1 ===
Pthread + SIMD 耗时:  0.1267 秒 | 校验: OK
OpenMP  + SIMD 耗时:  0.0728 秒 | 校验: OK
=== 规模: 1024 | 线程数: 2 ===
Pthread + SIMD 耗时:  0.1271 秒 | 校验: OK
OpenMP  + SIMD 耗时:  0.0372 秒 | 校验: OK
=== 规模: 1024 | 线程数: 4 ===
Pthread + SIMD 耗时:  0.1538 秒 | 校验: OK
OpenMP  + SIMD 耗时:  0.0194 秒 | 校验: OK
=== 规模: 1024 | 线程数: 8 ===
Pthread + SIMD 耗时:  0.2807 秒 | 校验: OK
OpenMP  + SIMD 耗时:  0.0157 秒 | 校验: OK
------------------------------------------------
=== 规模: 2048 | 线程数: 1 ===
Pthread + SIMD 耗时:  1.0880 秒 | 校验: OK
OpenMP  + SIMD 耗时:  0.8166 秒 | 校验: OK
=== 规模: 2048 | 线程数: 2 ===
Pthread + SIMD 耗时:  0.6715 秒 | 校验: OK
OpenMP  + SIMD 耗时:  0.4169 秒 | 校验: OK
=== 规模: 2048 | 线程数: 4 ===
Pthread + SIMD 耗时:  0.5554 秒 | 校验: OK
OpenMP  + SIMD 耗时:  0.2564 秒 | 校验: OK
=== 规模: 2048 | 线程数: 8 ===
Pthread + SIMD 耗时:  0.7907 秒 | 校验: OK
OpenMP  + SIMD 耗时:  0.1593 秒 | 校验: OK
